"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_RS09245",330.553310858601,-5.46225809322579,0.217981547042503,6.06150258832547e-140,2.71979621138164e-136
"ECB_RS10510",644.57684047151,-7.8382628256246,0.328863433034958,2.45075773972862e-126,5.49827498908116e-123
"ECB_RS16660",2897.2322957399,6.62066957559959,0.286954889916464,3.50644342298402e-120,5.24447054630977e-117
"ECB_RS02020",6234.47739893028,-6.53187427648581,0.286630805818107,4.46626134304135e-116,5.01002866155663e-113
"ECB_RS21750",241.671298779574,-4.93769066556051,0.217784870115306,4.69381788896641e-115,4.21223217355845e-112
"ECB_RS02030",1248.31808468674,5.76511599844195,0.262774799315022,5.15457999369935e-108,3.8547667386215e-105
"ECB_RS19135",417.617782553978,5.82051336751397,0.266399154641271,1.2775416974595e-106,8.18904228071541e-104
"ECB_RS09370",1637.98600032364,-5.68482353800152,0.263350473959352,1.64239803188025e-104,9.21179996130835e-102
"ECB_RS16725",1454.77779518364,5.75121938158134,0.267764438299133,2.46610894223201e-104,1.229492313755e-101
"ECB_RS16770",1763.61930083786,7.61056664053504,0.352030359515143,3.568860791421e-104,1.6013478371106e-101
"ECB_RS08280",352.433557060466,-4.20625353571849,0.199857772869894,1.8977228825417e-99,7.74098415814964e-97
"ECB_RS18980",691.313579686072,5.77117224867948,0.274341518056372,5.43916589790858e-99,2.03379478199298e-96
"ECB_RS16735",1588.81272111497,5.73261664255118,0.276352091575182,9.19376229598339e-98,3.17326241708288e-95
"ECB_RS16880",3555.65961176227,5.7536716442395,0.277258271815275,3.62015935030535e-97,1.16026107177286e-94
"ECB_RS19125",1366.09111931626,5.89687557449703,0.285871533621843,6.09310318049507e-96,1.82265026472542e-93
"ECB_RS08900",1709.18249461946,6.51868753692663,0.315745135792228,1.11957208144629e-95,3.13969995590595e-93
"ECB_RS01740",248.327837483095,-6.18209085418132,0.303070720881497,2.42790112229168e-93,6.40823078571927e-91
"ECB_RS21755",1250.36051633483,-4.95262559323274,0.243765296151447,6.7537835993979e-93,1.68356816724991e-90
"ECB_RS16325",1753.51353755868,7.07421096691284,0.350189058146732,5.62344747674216e-92,1.32802151727064e-89
"ECB_RS20510",1801.8288542374,6.37815005356483,0.316372730343971,1.00973618353368e-91,2.26534312775781e-89
"ECB_RS06180",4434.87352407689,-8.70212422114366,0.432797197871368,5.91088360574955e-91,1.26295879709515e-88
"ECB_RS16790",1373.94830075897,8.11188316534636,0.409844449080661,6.45770597804866e-91,1.31707848743201e-88
"ECB_RS02380",2884.81860684522,-6.20688207477791,0.311077000069308,2.03739851472292e-89,3.97469875459207e-87
"ECB_RS21650",1422.02592185319,7.46641127003053,0.376782122909189,1.7364834794035e-88,3.24650057170145e-86
"ECB_RS16785",1683.08419986402,7.98272383407032,0.404389265390654,2.32199474669378e-88,4.167516171366e-86
"ECB_RS20505",1038.08554425048,7.44538624176439,0.377950680246201,4.40417247474351e-86,7.60058534391312e-84
"ECB_RS09060",365.890250949581,-7.24425356337474,0.374032819275321,4.93800089577522e-85,8.20622593309015e-83
"ECB_RS16675",1385.11050198615,5.60782680419724,0.290102015090306,5.8669420546707e-85,9.40177464260979e-83
"ECB_RS04680",2368.24487958433,-5.49784308773216,0.283713815193828,8.48032594522627e-85,1.31211112124932e-82
"ECB_RS05615",3203.17686407897,-6.16381078059776,0.318068648605128,9.41755557147778e-85,1.40855239497403e-82
"ECB_RS00870",2089.48280054709,6.47920858895213,0.335377086692474,2.19128146171875e-84,3.17170319959098e-82
"ECB_RS16710",1102.897442936,6.33956470483609,0.332480722714042,4.18711294846562e-84,5.87111743742663e-82
"ECB_RS07420",263.422677308554,-7.10808800474974,0.372066151248138,6.08977584901968e-83,8.28024976804585e-81
"ECB_RS16020",2692.27570320424,6.22414331987927,0.330547653648791,2.21434740205089e-81,2.92228729205951e-79
"ECB_RS04815",1303.67576761294,5.08714353796769,0.269478913283139,9.32117344608715e-81,1.19497443578837e-78
"ECB_RS00920",436.983711244518,3.26770932557412,0.173192005882879,1.69012168592679e-80,2.10654889020931e-78
"ECB_RS16700",811.438587689379,6.26985682946595,0.333422259922817,2.62633834434059e-80,3.18496760839357e-78
"ECB_RS05725",287.566023940228,4.92733701336415,0.258530407543494,6.53342447950837e-80,7.71459885251422e-78
"ECB_RS19115",640.428706518892,5.15258894057426,0.275899518899828,3.07172389515548e-79,3.53405772245196e-77
"ECB_RS16755",2570.72205497208,7.40070631370098,0.397768585663678,6.93027331799512e-79,7.77403409446102e-77
"ECB_RS19325",2167.09449156744,6.15952835107995,0.331053909349203,3.29252907746826e-78,3.60331170014636e-76
"ECB_RS16780",811.403783547786,7.45168404869993,0.395512885414978,7.76265991617999e-78,8.29310834378562e-76
"ECB_RS20515",2370.15391864578,5.58648420422264,0.304732823528306,6.98516328940144e-77,7.28893666966146e-75
"ECB_RS21590",524.679672775555,-6.01705253939384,0.327461841588739,7.9375529401849e-77,8.09450000968401e-75
"ECB_RS16705",431.54524922583,6.90292736491264,0.374872987007242,2.00741887763658e-76,2.00161966754563e-74
"ECB_RS10880",186.402329615091,-6.26095192449222,0.342165093206592,3.65437276124194e-76,3.56460229993317e-74
"ECB_RS13180",792.352484221965,5.86410234822736,0.319887447593425,9.53181747026132e-76,9.09984361469415e-74
"ECB_RS16730",611.701488266108,5.60295819983467,0.309401867714932,3.60395211777535e-75,3.36894440676208e-73
"ECB_RS16715",759.667198778759,7.06989346659646,0.388631434525316,3.68914219154449e-75,3.3782002068286e-73
"ECB_RS20490",1916.27292971691,4.89825161215672,0.270477522495783,6.22018751593906e-75,5.58199627680371e-73
"ECB_RS09010",683.962989149872,-4.32803561023066,0.239655195191178,3.79576311742061e-74,3.33952727605221e-72
"ECB_RS12865",1585.61522384865,6.19068434449315,0.341407255407716,3.9908077145493e-74,3.44360657984283e-72
"ECB_RS13190",448.272460672167,6.23074827632788,0.348290092400978,5.11668320325942e-74,4.33180330811793e-72
"ECB_RS03085",1848.04543679279,-5.57496967955296,0.309460843546971,1.11127278930749e-73,9.23385371411617e-72
"ECB_RS05730",437.643081131352,4.42553663343647,0.245904597434437,2.74290077558604e-73,2.23770832364629e-71
"ECB_RS16670",560.633518426054,6.14794023860765,0.344178457996676,5.93504873461209e-73,4.75545779860794e-71
"ECB_RS03130",248.754053464722,4.10625700514767,0.227372039596812,1.5212447791637e-72,1.19751321475571e-70
"ECB_RS16655",871.2235078588,6.41569267092382,0.360905472389737,3.34141112012893e-71,2.5849847751756e-69
"ECB_RS13185",658.276432160139,7.05238846578137,0.399775854447778,1.05018401489333e-70,7.98673843190909e-69
"ECB_RS16775",884.165212972665,8.5260090974179,0.483955259267484,1.83333380368879e-70,1.37102812952527e-68
"ECB_RS16320",1014.00064303261,5.33282135551989,0.305246027246135,2.62499434215805e-70,1.93087698578085e-68
"ECB_RS04835",3497.8890633737,5.02289265799428,0.28644799623894,3.46951501641603e-70,2.51092159333205e-68
"ECB_RS05320",279.448629010826,-5.79245508186418,0.331931110500886,1.33496444877802e-69,9.50791346296344e-68
"ECB_RS10900",332.680281684644,-8.67990436247916,0.501922594661209,1.99472473783492e-68,1.39848904666645e-66
"ECB_RS02835",171.018178616157,-5.39914062940233,0.31179570614158,3.3341814825621e-68,2.30161112496249e-66
"ECB_RS09055",113.200677844181,-6.359296541725,0.369286547228624,4.73340289747542e-68,3.2179967880261e-66
"ECB_RS19130",360.455793805716,5.98102771778393,0.344334956060756,5.09783393960415e-68,3.41402699806027e-66
"ECB_RS16760",1272.62469882107,6.67277610961601,0.387628093005548,1.02696662946433e-67,6.77646950942125e-66
"ECB_RS19140",281.187340178968,5.23745004601051,0.306180048097942,1.28925388122881e-66,8.38388719575895e-65
"ECB_RS21390",1789.2887326184,-6.80231168363102,0.397863316226013,1.32352297882907e-66,8.48378229429435e-65
"ECB_RS16895",1372.53625487154,5.81590283415449,0.342318478000337,1.61125650163615e-66,1.01826872152696e-64
"ECB_RS19120",409.976211988773,5.36693126464081,0.311057589664836,1.8874400075996e-66,1.16250904334767e-64
"ECB_RS05315",736.904784312962,-6.46857893737895,0.378972706712611,1.89131179327791e-66,1.16250904334767e-64
"ECB_RS16665",1111.54142225997,5.66322879238505,0.334251743251074,2.47671640478208e-66,1.50176033895368e-64
"ECB_RS07345",113.045374712242,-4.66953922798939,0.27440685011539,3.59669660036019e-66,2.15178368610882e-64
"ECB_RS20365",265.070483349212,3.29914033385634,0.194405746741842,1.46339471450958e-65,8.63980537369013e-64
"ECB_RS20525",1405.58425282224,5.52481642359054,0.325593823929158,3.76986368197372e-65,2.19680238195014e-63
"ECB_RS14510",825.836922850166,4.41159503289035,0.26099787374581,3.95621474851863e-65,2.27583789443629e-63
"ECB_RS04155",3284.57032888748,-4.96161665058415,0.294826346899268,1.28198992915716e-64,7.28137824320024e-63
"ECB_RS18495",1946.83367685157,5.6206972450294,0.336475107399372,2.01927244643005e-64,1.13255943339146e-62
"ECB_RS00515",943.422505124872,4.22177370447709,0.25311432327151,2.25393199532481e-63,1.24856702012623e-61
"ECB_RS20520",2058.60417241012,4.08774734392305,0.245709110799794,2.53701003887073e-63,1.38823951761134e-61
"ECB_RS05760",808.631057687633,6.41191164940115,0.391117887199888,7.45944046761472e-63,4.03259149134786e-61
"ECB_RS09520",363.625210866379,3.10292528564213,0.1864707516892,8.689433023577e-63,4.64160547342738e-61
"ECB_RS07915",85.127277748401,-6.66732284771908,0.402170511921718,2.6566859646705e-62,1.40241763805606e-60
"ECB_RS16365",178.046038809303,-5.67023903971605,0.343931641627692,3.05574882876848e-62,1.59431918542839e-60
"ECB_RS16890",1489.06772471283,5.88335687427339,0.359307508682297,8.28966614341286e-62,4.27537149258546e-60
"ECB_RS20840",446.516408326192,-5.45090219326848,0.332606169935173,1.33759247844412e-61,6.82020164861222e-60
"ECB_RS05720",222.772618000151,4.56740180829697,0.275947523035334,1.8787691552046e-61,9.47195190944161e-60
"ECB_RS18040",15880.4251122441,7.02457585754924,0.433206317679026,3.19953992449962e-61,1.59514840458109e-59
"ECB_RS16720",1168.57181795448,6.31933396179615,0.389384092881797,6.99729200494498e-61,3.45020321166902e-59
"ECB_RS02655",2527.93568696973,5.95440339470945,0.368419861343359,1.10128298682213e-60,5.37114865420749e-59
"ECB_RS00930",250.747352890197,4.02481358421709,0.248025403404011,7.32955968414811e-60,3.53631551642716e-58
"ECB_RS01140",788.880005408344,-7.26452192772684,0.450340215655002,1.00464835462713e-59,4.79559273107653e-58
"ECB_RS02000",824.977406083857,4.51371754614713,0.280004766735913,1.16362076689886e-59,5.49596461165807e-58
"ECB_RS18490",422.596404181461,4.56923181148838,0.28545093714734,1.24381587329116e-59,5.81354356610148e-58
