,Pathway ID,Name,Gene Set Size,Spearman correlation,Toxication NES,Starvation NES
0,PUTDEG-PWY,putrescine degradation I,2,-0.9999999999999999,1.48002492313306,4.65997041564103
1,PWY0-1305,glutamate dependent acid resistance,2,-0.9999999999999999,1.1859878015983114,1.5921291521126948
2,PWY0-461,lysine degradation I,2,-0.9999999999999999,1.351552153425855,1.839280352134862
3,PWY0-1317,L-lactaldehyde degradation (aerobic),2,-0.9999999999999999,1.46805444160714,2.015819529965503
4,THRDLCTCAT-PWY,threonine degradation III (to methylglyoxal),2,-0.9999999999999999,1.4682856138641809,1.771820927226545
5,PWY0-1280,ethylene glycol degradation,2,-0.9999999999999999,2.32846127655449,2.44590458642177
6,GLYCOLATEMET-PWY,glycolate and glyoxylate degradation I,7,0.3214285714285715,1.88244894555034,1.86338913969408
7,GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation,11,0.36446563806256416,1.88372207651649,2.02611815629578
8,PWY0-42,2-methylcitrate cycle I,6,0.3714285714285715,1.69070835521945,2.03799994814905
9,PWY-6961,"L-ascorbate degradation II (bacterial, aerobic)",9,0.8333333333333333,2.11098324591628,1.79204893475504
10,PWY-6772,hydrogen production V,7,0.8571428571428573,1.88508665940948,1.77736595370612
11,PWY0-301,"L-ascorbate degradation I (bacterial, anaerobic)",8,0.9523809523809524,1.83854380596782,1.72700654069487
12,LYXMET-PWY,L-lyxose degradation,7,0.9642857142857145,1.93769921717306,1.80519955690732
13,THREONINE-DEG2-PWY,threonine degradation II,2,0.9999999999999999,1.259112615241421,1.9050923442913952
14,GLUCONSUPER-PWY,D-gluconate degradation,2,0.9999999999999999,1.7022710038450517,2.3647266983921
15,PWY-66,GDP-L-fucose biosynthesis I (from GDP-D-mannose),2,0.9999999999999999,2.992697755093485,2.429172440742795
16,PWY0-661,PRPP biosynthesis II,2,0.9999999999999999,2.88193561373506,1.7237055095714957
17,PWY-6894,thiamin diphosphate biosynthesis I (E. coli),2,0.9999999999999999,2.70271620642193,2.35363775034089
18,PWY-7181,pyrimidine deoxyribonucleosides degradation,2,0.9999999999999999,1.15009838210245,1.93460402129822
19,PWY0-1300,2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation,2,0.9999999999999999,2.4589968389144303,2.4412233971715347
20,2PHENDEG-PWY,phenylethylamine degradation I,2,0.9999999999999999,1.973592835310185,2.09844354581715
21,PWY0-1309,chitobiose degradation,2,0.9999999999999999,1.8873669162944449,1.1909532065925
22,TRESYN-PWY,trehalose biosynthesis I,2,0.9999999999999999,1.8367726607099448,3.00331017951205
23,PWY-7247,&beta;-D-glucuronide and D-glucuronate degradation,2,0.9999999999999999,1.82541516102097,1.60708482145626
24,PWY-46,putrescine biosynthesis III,2,0.9999999999999999,1.7826069068509,1.40424706914626
25,PWY-6019,pseudouridine degradation,2,0.9999999999999999,3.234241241824765,2.69738571617075
26,XYLCAT-PWY,xylose degradation I,2,0.9999999999999999,2.34239671334459,3.076258225859835
27,PWY0-1466,trehalose degradation VI (periplasmic),2,1.0,1.700193431020425,4.271760290259725
28,PWY0-1477,ethanolamine utilization,2,1.0,2.326076311726065,1.99388910063586
29,GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation,5,1.0,1.85197625167627,1.9861661098611
30,AST-PWY,arginine degradation II (AST pathway),5,1.0,1.67181347842116,2.15994830569878
31,GLUCARDEG-PWY,<i>D</i>-glucarate degradation I,4,1.0,1.69740594794003,1.84433905518236
32,GALACTARDEG-PWY,D-galactarate degradation I,4,1.0,1.69740594794003,1.89776655367715
33,PWY0-541,cyclopropane fatty acid (CFA) biosynthesis,1,NC,1.4959621834125,1.94296285607953
34,TREDEGLOW-PWY,trehalose degradation I (low osmolarity),1,NC,2.18675062115082,1.41455366167344
35,PWY0-1315,L-lactaldehyde degradation (anaerobic),1,NC,2.32846127655449,1.49622475256379
36,PWY-6476,cytidylyl molybdenum cofactor biosynthesis,1,NC,2.73758113067013,6.40687046376034
37,TRYPDEG-PWY,tryptophan degradation II (via pyruvate),1,NC,2.71945031778787,2.32442325164908
38,PWY0-1306,L-galactonate degradation,1,NC,2.65064293702458,2.07270312541232
39,PWY0-1313,acetate conversion to acetyl-CoA,1,NC,1.19407480787262,4.21849854445466
40,PYRUVOX-PWY,pyruvate oxidation pathway,1,NC,1.17435140182135,3.66245494737279
41,PWY0-1527,curcumin degradation,1,NC,2.09016158521764,3.65971022718278
42,PWY-4621,arsenate detoxification II (glutaredoxin),1,NC,1.39610105155437,1.14732764102138
43,SORBDEG-PWY,D-sorbitol degradation II,1,NC,1.25727254030096,1.08246131443959
