,Pathway ID,Name,Gene Set Size,Spearman correlation,Toxication NES,Starvation NES
0,PWY-6164,3-dehydroquinate biosynthesis I,4,0.19999999999999998,-1.71709860810459,-1.67431429265056
1,1CMET2-PWY,formylTHF biosynthesis,13,0.21028158800339597,-2.51273792845165,-2.24768138188192
2,PWY0-1544,proline to cytochrome <i>bo</i> oxidase electron transfer,5,0.3,-1.80365645768941,-2.03350724549546
3,PWY-7221,guanosine ribonucleotides <i>de novo</i> biosynthesis,4,0.39999999999999997,-1.97586286762016,-1.73321839353187
4,PWY-6123,inosine-5'-phosphate biosynthesis I,5,0.39999999999999997,-2.29396075110087,-2.06630716465036
5,SULFATE-CYS-PWY,superpathway of sulfate assimilation and cysteine biosynthesis,14,0.40468083504082186,-1.86505263867414,-2.32513385566254
6,BRANCHED-CHAIN-AA-SYN-PWY,"superpathway of leucine, valine, and isoleucine biosynthesis",16,0.5441188553357554,-2.39070531310704,-2.36283049367942
7,VALSYN-PWY,valine biosynthesis,9,0.5506437651964586,-1.98025068958596,-2.19313264846487
8,DAPLYSINESYN-PWY,lysine biosynthesis I,11,0.570285213928281,-2.10732918596665,-1.97586161267324
9,THRESYN-PWY,threonine biosynthesis,7,0.5765999761251578,-2.18192131860366,-2.20585681679703
10,TRNA-CHARGING-PWY,tRNA charging,107,0.6236609238669765,-4.42795926106288,-2.55517408394687
11,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),17,0.6869763059129474,-1.72011710617494,-1.91805717305367
12,DENOVOPURINE2-PWY,superpathway of purine nucleotides <i>de novo</i> biosynthesis II,21,0.6891848366083128,-3.46732566617678,-2.89126082417289
13,PWY-6387,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing),9,0.6948813140155312,-1.8992943066277,-1.8886917610433
14,PHESYN,phenylalanine biosynthesis I,5,0.7,-1.89206996903463,-1.86782405722471
15,ECASYN-PWY,enterobacterial common antigen biosynthesis,11,0.7054586028639577,-1.91520360590273,-2.11151529451559
16,LEUSYN-PWY,leucine biosynthesis,6,0.7142857142857143,-2.11738651249719,-1.95878672909962
17,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis",43,0.7209198604479014,-3.58666550623908,-3.268070694159
18,PWY-6628,superpathway of phenylalanine biosynthesis,16,0.7363164973003551,-2.42893737984519,-2.51025400911292
19,ARO-PWY,chorismate biosynthesis I,11,0.7397349472667843,-1.94138504713108,-2.15268564876207
20,PWY0-781,aspartate superpathway,26,0.7536769287654546,-2.65765838490427,-2.57989309455556
21,COMPLETE-ARO-PWY,"superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis",21,0.7593276661309837,-2.60536573785597,-2.71884379047879
22,PWY0-1335,NADH to cytochrome <i>bo</i> oxidase electron transfer,17,0.7644421332094404,-2.56899553350648,-2.43935040778484
23,PWY-6126,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II,9,0.7666666666666667,-2.39162990313817,-1.97030997185807
24,ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,52,0.7702227777904888,-2.81025343127815,-2.55712669305212
25,PWY-6629,superpathway of tryptophan biosynthesis,16,0.7730999537780945,-2.25574522582051,-2.40930650375517
26,P4-PWY,"superpathway of lysine, threonine and methionine biosynthesis I",20,0.7909425833664824,-2.46440229734948,-2.35957122239151
27,PYRIDOXSYN-PWY,pyridoxal 5'-phosphate biosynthesis I,7,0.792824967172092,-1.99212895211834,-1.98649207950646
28,TYRSYN,tyrosine biosynthesis I,4,0.7999999999999999,-1.75776186900696,-1.68425743262671
29,PWY0-1329,succinate to cytochrome <i>bo</i> oxidase electron transfer,8,0.80511756018254,-1.93861911505151,-2.01452653648015
30,PWY0-1479,tRNA processing,8,0.8099531445617963,-2.21479795387824,-1.95433975412635
31,LPSSYN-PWY,superpathway of lipopolysaccharide biosynthesis,20,0.8110864252466627,-2.27410078998512,-2.12877150944149
32,PWY0-845,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,9,0.8136762043449725,-2.08455927793993,-2.07889775478453
33,MET-SAM-PWY,superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis,11,0.835417813386166,-2.11979851639493,-2.06825827778634
34,METSYN-PWY,homoserine and methionine biosynthesis,10,0.8363744477885018,-1.96546487694121,-2.00248939674655
35,PWY-6125,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II,9,0.8451956828432803,-2.3505157681243,-1.81664307915623
36,KDO-NAGLIPASYN-PWY,superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis,16,0.8814102564102563,-2.38735311571135,-2.06582682701811
37,PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,6,0.8857142857142858,-2.48148897315411,-2.26682173891771
38,PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,5,0.8999999999999998,-2.27870747059341,-2.11286493058971
39,PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,5,0.8999999999999998,-2.32048819546168,-2.10980191967264
40,PWY0-162,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,11,0.9054528396580603,-2.31352400383258,-2.0679253880281
41,GLUTAMINDEG-PWY,glutamine degradation I,9,0.9153857298880941,-2.21158744090865,-1.959546386831
42,PWY-5686,UMP biosynthesis,8,0.9187081950430209,-2.05782429172696,-1.86821321920244
43,SER-GLYSYN-PWY,superpathway of serine and glycine biosynthesis I,6,0.9411239481143202,-1.89127684723713,-1.76918597041714
44,PWY-7343,UDP-glucose biosynthesis,2,0.9999999999999999,-1.78507933675036,-1.69946497766432
45,PWY-6605,adenine and adenosine salvage II,2,0.9999999999999999,-1.93271373355742,-3.38288997445443
46,HOMOSER-THRESYN-PWY,threonine biosynthesis from homoserine,2,0.9999999999999999,-1.91199240455376,-3.4803335564854097
47,MALATE-ASPARTATE-SHUTTLE-PWY,aspartate degradation II,2,0.9999999999999999,-1.79834063235752,-3.84673268704039
48,PWY-5965,fatty acid biosynthesis initiation III,2,0.9999999999999999,-1.415595064288115,-1.70378250848556
49,PWY-2161,folate polyglutamylation,2,0.9999999999999999,-1.7341270825673154,-3.3131773381103917
50,PWY-901,methylglyoxal degradation II,2,0.9999999999999999,-1.55560894984088,-1.65592639946577
51,PWY-4381,fatty acid biosynthesis initiation I,2,0.9999999999999999,-1.706903884991245,-1.4797281583813282
52,GLUTSYNIII-PWY,glutamate biosynthesis III,3,1.0,-1.89006177037333,-1.81920442286198
53,AMMASSIM-PWY,ammonia assimilation cycle III,3,1.0,-1.85712430124106,-1.81920442286198
54,PWY-7335,UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis,2,1.0,-1.4983813923146752,-2.605832138210375
55,GLUTAMINEFUM-PWY,glutamine degradation II,2,1.0,-2.8905575426253147,-4.893961594277205
56,PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,3,1.0,-1.76819313458394,-1.7327184747567
57,GLUTSYN-PWY,glutamate biosynthesis I,2,1.0,-2.8905575426253147,-4.893961594277205
58,THIOREDOX-PWY,thioredoxin pathway,1,NC,-1.65171402229675,-3.74667384697101
59,ASPARTATESYN-PWY,aspartate biosynthesis,1,NC,-1.79834063235752,-3.84673268704039
60,GLYSYN-PWY,glycine biosynthesis I,1,NC,-2.94599690243096,-5.75350183071795
61,PWY-5785,"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",1,NC,-1.39161149601381,-2.27703198705737
62,PWY0-662,PRPP biosynthesis I,1,NC,-2.93906037217442,-4.25130742806254
63,SAM-PWY,S-adenosyl-L-methionine biosynthesis,1,NC,-1.94080465957827,-2.40978186135502
64,PWY-6268,adenosylcobalamin salvage from cobalamin,1,NC,-1.13255972079659,-1.93767873859481
65,KDOSYN-PWY,KDO transfer to lipid IV<sub>A</sub> I,1,NC,-1.19137584233204,-1.21131793062897
66,PWY-6617,adenosine nucleotides degradation III,1,NC,-1.20550852173404,-1.71767197370037
67,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,1,NC,-1.99885519966092,-3.70141811591915
68,GLNSYN-PWY,glutamine biosynthesis I,1,NC,-2.02391531363682,-4.91180332349939
