"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1CMET2-PWY",5.28474843044659e-05,0.000864433850408763,0.557332238758646,-0.727642740336135,-2.51273792845165,11,"ECB_RS12865,ECB_RS14465,ECB_RS02490,ECB_RS20690,ECB_RS14475,ECB_RS00270,ECB_RS20295,ECB_RS06415,ECB_RS14140,ECB_RS00605"
"2","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.010346798928812,0.0319751574759033,0.380730400722792,0.669195909185073,1.73575101464198,8,"ECB_RS22500,ECB_RS22535,ECB_RS22540,ECB_RS22515,ECB_RS22520,ECB_RS22530,ECB_RS22525"
"3","4AMINOBUTMETAB-PWY",0.578005115089514,0.668500865431812,0.0845557442441281,-0.403518416712479,-0.90444950007088,4,"ECB_RS06805,ECB_RS13285,ECB_RS13290,ECB_RS07845"
"4","ACETATEUTIL-PWY",0.842880523731588,0.881368218879149,0.0443293451680314,0.363039451174578,0.734303219076684,4,"ECB_RS12380,ECB_RS20965"
"5","ACETOACETATE-DEG-PWY",0.0764119601328904,0.13719146896717,0.208955027549354,0.755702115965925,1.38509129310855,3,"ECB_RS11325,ECB_RS11335,ECB_RS11320"
"6","ALADEG-PWY",0.5125,0.604961340206186,0.0899860794997137,-0.47705413575158,-0.952990773560297,3,"ECB_RS20880,ECB_RS06190,ECB_RS06185"
"7","ALANINE-VALINESYN-PWY",0.161125319693095,0.23110835694051,0.176694268938498,-0.568843813674732,-1.27501120540705,4,"ECB_RS19305,ECB_RS18130,ECB_RS20880"
"8","ALL-CHORISMATE-PWY",5.61911574102891e-08,3.21694376173905e-06,0.719512826338911,-0.539365501125118,-2.81025343127815,41,"ECB_RS10975,ECB_RS13150,ECB_RS11860,ECB_RS02925,ECB_RS06555,ECB_RS06550,ECB_RS04820,ECB_RS04920,ECB_RS17145,ECB_RS19305,ECB_RS13140,ECB_RS06565,ECB_RS00270,ECB_RS08735,ECB_RS08770,ECB_RS16130,ECB_RS03770,ECB_RS13145,ECB_RS02940,ECB_RS09710,ECB_RS20885,ECB_RS11770,ECB_RS00735,ECB_RS08835,ECB_RS11530,ECB_RS01760"
"9","AMMASSIM-PWY",0.000881492033680501,0.00593710810920102,0.477270815362862,-0.929651003022808,-1.85712430124106,3,"ECB_RS16255,ECB_RS16260,ECB_RS19900"
"10","ANARESP1-PWY",0.0617608409986859,0.116886219741315,0.206587922696891,0.416911565925631,1.46779116745673,23,"ECB_RS13605,ECB_RS13600,ECB_RS13595,ECB_RS13585,ECB_RS13590,ECB_RS01520,ECB_RS21410,ECB_RS21425,ECB_RS13580"
"11","ARABCAT-PWY",0.0207972684313006,0.0541201644405436,0.352487857583619,0.729997250481166,1.61054600334114,5,"ECB_RS00325,ECB_RS00335,ECB_RS21635,ECB_RS18190,ECB_RS00330"
"12","ARG+POLYAMINE-SYN",0.0452436507273175,0.0977433586467521,0.321775918075361,-0.383016918065364,-1.52637781878781,18,"ECB_RS00185,ECB_RS00190,ECB_RS00630,ECB_RS14095,ECB_RS20380,ECB_RS14630,ECB_RS16055,ECB_RS14625,ECB_RS20385,ECB_RS20390"
