"","pre_lac25_01","pre_lac01_02","pre_lac25_03","pre_lac01_04","pre_lac01_05","pre_lac25_06","pre_lac25_07","pre_lac25_08","pre_lac50_09","pre_lac50_10","pre_lac50_11","pre_lac50_12","pre_lac50_13","pre_lac50_14","pre_lac50_15","pre_lac50_16","pre_lac01_17","pre_lac25_18","pre_lac25_19","pre_lac01_20","pre_lac01_21","pre_lac01_22","pre_lac25_23"
"ECB_RS00005",193.382529292842,212.748991561635,151.825303762998,552.08104285762,322.60723626409,314.534459357341,174.381767172839,143.767613678189,118.17870441628,182.940471605462,174.999441550774,213.848672367902,332.103064794228,226.024117156393,218.790070596459,299.005525219113,463.972839741256,618.08056594653,571.557306243194,396.311081609629,624.028070903993,478.596301092532,427.883185780706
"ECB_RS00010",2222.40386112573,68.3281432752697,2019.46711574298,41.9892624145232,67.9173128977032,1789.99963846187,1402.6690617134,1443.42684132902,201.674528188652,214.756205797716,217.58780122021,209.069931085938,168.755954748859,237.401170033393,203.278834248202,138.486769575168,31.2790678477251,485.406925371836,480.30722832338,100.206218812457,40.0017994169226,89.1724240243161,528.271163983102
"ECB_RS00015",397.231638779368,26.3995099018087,644.781101754993,17.1067365392502,33.9586564488516,470.06584764883,325.157268920533,458.139462254495,71.292587990256,73.7546565365892,102.212063206647,75.2651751909377,65.9879053825665,97.8426547421971,97.9657032521457,52.7193952360015,15.6395339238626,122.467975915102,126.920562924831,41.5269014898472,24.0010796501536,37.2492404152207,136.593478537687
"ECB_RS00020",1102.47978040146,23.2936852074783,1179.02830035199,32.6583152112959,16.9793282244258,1065.11227517475,729.50975088026,778.262015377929,127.170562360997,160.524840697282,130.862414256994,222.21146961134,174.164799452348,124.389111455196,160.827029505606,97.5702240188685,41.7054237969668,225.800330593469,209.87517921557,53.2627649543692,18.6675063945639,41.7642998594898,287.175445841282
"ECB_RS00030",337.921017681821,62.1164938866088,266.805973139997,21.7722101408639,72.1621449538096,395.077499722576,235.301161818372,203.191560665173,50.7397698309029,86.7701841606932,68.9157092832693,117.079161408125,91.950359959314,48.5420922751985,88.1691329269312,52.7193952360015,15.6395339238626,118.640851667755,113.647824318313,18.0551745608031,10.6671465111794,16.9314729160094,136.593478537687
"ECB_RS00035",67.2851583879733,23.2936852074783,61.6194747489993,20.2170522736593,42.4483205610645,73.599674816508,65.4883492439482,41.532866173699,37.8942584813072,54.2313651004333,53.429033039838,51.3714687811162,62.7425985604731,42.4743307407987,37.5535195799892,39.3428322656728,20.8527118984834,45.2876369269387,49.7727697744436,23.4717269290441,18.6675063945639,24.8328269434804,63.3596255867584
"ECB_RS00040",23.4252032906277,15.5291234716522,20.9633264609998,32.6583152112959,4.24483205610645,22.9131063107997,18.27581839366,18.5300479851888,98.2681618244069,65.8007229885257,106.083732267504,70.4864339089734,57.333753856984,133.490753756796,77.556181741282,103.865077181376,26.0658898731043,40.8226586383673,34.8409388421105,85.7620791638149,18.6675063945639,97.0737780517872,29.6226820925104
"ECB_RS00045",3430.04785204468,1358.79830376957,2788.75767162997,163.291576056479,1209.77713599034,2980.0924935137,2098.67314553862,1500.93388680029,381.511687082991,498.928558923986,343.029878792003,680.970632679913,825.38970175243,258.638335403792,479.215565075079,383.199186267653,192.887585060972,547.278767370612,555.795929147953,92.081390260096,184.008277317844,114.005250967797,817.915166665427
"ECB_RS00050",62.3010725814568,85.4101790940871,71.7835118209992,49.7650517505461,76.4069770099161,73.599674816508,58.6349173463257,58.1460126431786,35.9674317788679,31.0926493242484,44.1370272937792,44.2033568581698,65.9879053825665,31.0972778637991,48.1664707656383,37.7691189750459,46.9186017715877,45.2876369269387,58.0682314035175,33.4020729374858,37.3350127891278,47.4081241648263,78.9938189133611
"ECB_RS00055",14.9522574195496,17.0820358188174,19.6928218269998,43.5444202817278,25.4689923366387,17.3584138718179,50.2585005825649,51.756340924148,28.9024005365903,31.8157341922542,39.4910244207498,23.8937064098215,31.3712992802365,39.4404499735988,30.2060918360783,28.3268392312844,36.492245822346,69.5260904934693,63.8750545438693,38.8186253057267,40.0017994169226,33.8629458320188,68.2967392688435
