"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_RS09245",330.553310858601,5.46316141656783,0.217993833902728,6.0612191101849e-140,2.71966901473997e-136
"ECB_RS10510",644.57684047151,7.84006696537872,0.328934696091866,2.4505687702747e-126,5.49785103611128e-123
"ECB_RS16660",2897.2322957399,-6.61928771776012,0.287002434073267,3.50667885589964e-120,5.24482267547389e-117
"ECB_RS02020",6234.47739893028,6.53572941480009,0.28649709680665,4.46589345583218e-116,5.00961598407974e-113
"ECB_RS21750",241.671298779574,4.93297623515044,0.217863220631359,4.69359920386866e-115,4.21203592555173e-112
"ECB_RS02030",1248.31808468674,-5.77127651986357,0.262637711759463,5.15484608279907e-108,3.85496572891991e-105
"ECB_RS19135",417.617782553978,-5.81976606837256,0.266405117878953,1.27761014497587e-106,8.1894810292953e-104
"ECB_RS09370",1637.98600032364,5.6869264226655,0.263408999069619,1.64228018827349e-104,9.21113900597894e-102
"ECB_RS16725",1454.77779518364,-5.7494156722802,0.267778035553867,2.46624218006275e-104,1.22955874021573e-101
"ECB_RS16770",1763.61930083786,-7.61561319314982,0.351898260750053,3.56912246433657e-104,1.60146524974782e-101
"ECB_RS08280",352.433557060466,4.20704468155465,0.199867729548122,1.89764634098161e-99,7.7406719381677e-97
"ECB_RS18980",691.313579686072,-5.77005394365436,0.274331492856469,5.43944688153394e-99,2.03389984645357e-96
"ECB_RS16735",1588.81272111497,-5.72991030228927,0.27639650910132,9.19423298615759e-98,3.17342487760686e-95
"ECB_RS16880",3555.65961176227,-5.75278496509023,0.277239309867434,3.62037285477626e-97,1.16032949995579e-94
"ECB_RS19125",1366.09111931626,-5.89557869814096,0.285876976839425,6.09345061595594e-96,1.82275419425295e-93
"ECB_RS08900",1709.18249461946,-6.51429446497324,0.315909835153331,1.11964027276156e-95,3.13989118992571e-93
"ECB_RS01740",248.327837483095,6.18353902822734,0.303160115161233,2.42776941576149e-93,6.40788315795401e-91
"ECB_RS21755",1250.36051633483,4.95370205897289,0.243756332874548,6.75342697179802e-93,1.68347926791432e-90
"ECB_RS16325",1753.51353755868,-7.0801219174351,0.349894371509822,5.62383109973594e-92,1.32811211286922e-89
"ECB_RS20510",1801.8288542374,-6.3775936498365,0.316334003072287,1.00979827800242e-91,2.26548243669842e-89
"ECB_RS06180",4434.87352407689,8.70648052424424,0.433043193388247,5.91029223475278e-91,1.26283244082551e-88
"ECB_RS16790",1373.94830075897,-8.10513050933919,0.409918530132358,6.45825271904073e-91,1.31718999774253e-88
"ECB_RS02380",2884.81860684522,6.20526564161585,0.311397220923554,2.03723839601054e-89,3.97438638386925e-87
"ECB_RS21650",1422.02592185319,-7.46016726358103,0.377026788079948,1.73661326023697e-88,3.24674320778471e-86
"ECB_RS16785",1683.08419986402,-7.97851641989071,0.4042917506806,2.322180433446e-88,4.16784944194888e-86
"ECB_RS20505",1038.08554425048,-7.44086447612262,0.378076018900218,4.40449706565157e-86,7.60114551291485e-84
"ECB_RS09060",365.890250949581,7.2458199087826,0.374127011754391,4.93768052501413e-85,8.20569352434756e-83
"ECB_RS16675",1385.11050198615,-5.60666393981942,0.290112386193285,5.8672455447806e-85,9.40226098551091e-83
"ECB_RS04680",2368.24487958433,5.50203514529748,0.283828997740872,8.4797080759216e-85,1.3120155219538e-82
"ECB_RS05615",3203.17686407897,6.16757473888013,0.318121988718361,9.41685377336736e-85,1.40844742936998e-82
"ECB_RS00870",2089.48280054709,-6.47759825519397,0.335334596626551,2.1914045088292e-84,3.1718813003602e-82
"ECB_RS16710",1102.897442936,-6.33859017562072,0.332447401552634,4.18735991275027e-84,5.87146372765951e-82
"ECB_RS07420",263.422677308554,7.11041394453452,0.372128882162506,6.08938204042467e-83,8.27971430769258e-81
"ECB_RS16020",2692.27570320424,-6.22471722033987,0.330452623892573,2.21445594714666e-81,2.9224305396609e-79
"ECB_RS04815",1303.67576761294,-5.08599904359323,0.269424256603283,9.32163368092003e-81,1.19503343789395e-78
"ECB_RS00920",436.983711244518,-3.26636435279515,0.173168850619111,1.69016773635487e-80,2.1066062869512e-78
"ECB_RS16700",811.438587689379,-6.26979422153081,0.333401545524281,2.62648113963101e-80,3.1851407766282e-78
"ECB_RS05725",287.566023940228,-4.92517205739907,0.258523557050619,6.53370062107966e-80,7.71492491757486e-78
"ECB_RS19115",640.428706518892,-5.15103419152263,0.275901392878046,3.07186679238562e-79,3.53422212754726e-77
"ECB_RS16755",2570.72205497208,-7.39808560681499,0.397682681590157,6.93074083120253e-79,7.77455852740143e-77
"ECB_RS19325",2167.09449156744,-6.16063038157534,0.331034454323803,3.2926726979007e-78,3.60346887694645e-76
"ECB_RS16780",811.403783547786,-7.44884638516762,0.395501493305935,7.76323265275382e-78,8.29372021735866e-76
"ECB_RS20515",2370.15391864578,-5.58501653912479,0.304708108976302,6.98554246400654e-77,7.28933233395287e-75
"ECB_RS21590",524.679672775555,6.0199226113709,0.327573505097681,7.93705043284108e-77,8.09398756639953e-75
"ECB_RS16705",431.54524922583,-6.90029238114401,0.374881362795207,2.00756185620557e-76,2.00176223306542e-74
"ECB_RS10880",186.402329615091,6.26243503912423,0.342212354393396,3.6541856438967e-76,3.5644197791662e-74
