,OD-L25-01,OD-L01-01,OD-L25-02,T0-L01-08,OD-L01-02,OD-L25-03,OD-L25-04,OD-L25-05,OD-L50-01,T0-L50-08,T0-L50-09,T0-L50-04,T0-L50-07,T0-L50-06,T0-L50-02,T0-L50-03,T0-L50-01,T0-L01-02,T0-L25-14,T0-L25-15,T0-L01-05,T0-L25-10,T0-L01-12,T0-L01-06,T0-L25-13
ECB_RS00005,388.0,137.0,239.0,355.0,76.0,453.0,229.0,225.0,1.0,184.0,253.0,226.0,179.0,307.0,298.0,268.0,380.0,89.0,969.0,689.0,439.0,3.0,234.0,424.0,520.0
ECB_RS00010,4459.0,44.0,3179.0,27.0,16.0,2578.0,1842.0,2259.0,37.0,314.0,297.0,281.0,175.0,156.0,313.0,249.0,176.0,6.0,761.0,579.0,111.0,4.0,15.0,79.0,642.0
ECB_RS00015,797.0,17.0,1015.0,11.0,8.0,677.0,427.0,717.0,21.0,111.0,102.0,132.0,63.0,61.0,129.0,120.0,67.0,3.0,192.0,153.0,46.0,3.0,9.0,33.0,166.0
ECB_RS00020,2212.0,15.0,1856.0,21.0,4.0,1534.0,958.0,1218.0,22.0,198.0,222.0,169.0,186.0,161.0,164.0,197.0,124.0,8.0,354.0,253.0,59.0,2.0,7.0,37.0,349.0
ECB_RS00030,678.0,40.0,420.0,14.0,17.0,569.0,309.0,318.0,6.0,79.0,120.0,89.0,98.0,85.0,64.0,108.0,67.0,3.0,186.0,137.0,20.0,3.0,4.0,15.0,166.0
ECB_RS00035,135.0,15.0,97.0,13.0,10.0,106.0,86.0,65.0,2.0,59.0,75.0,69.0,43.0,58.0,56.0,46.0,50.0,4.0,71.0,60.0,26.0,0.0,7.0,22.0,77.0
ECB_RS00040,47.0,10.0,33.0,21.0,1.0,33.0,24.0,29.0,0.0,153.0,91.0,137.0,59.0,53.0,176.0,95.0,132.0,5.0,64.0,42.0,95.0,0.0,7.0,86.0,36.0
ECB_RS00045,6882.0,875.0,4390.0,105.0,285.0,4292.0,2756.0,2349.0,89.0,594.0,690.0,443.0,570.0,763.0,341.0,587.0,487.0,37.0,858.0,670.0,102.0,9.0,69.0,101.0,994.0
ECB_RS00050,125.0,55.0,113.0,32.0,18.0,106.0,77.0,91.0,5.0,56.0,43.0,57.0,37.0,61.0,41.0,59.0,48.0,9.0,71.0,70.0,37.0,0.0,14.0,42.0,96.0
ECB_RS00055,30.0,11.0,31.0,28.0,6.0,25.0,66.0,81.0,0.0,45.0,44.0,51.0,20.0,29.0,52.0,37.0,36.0,7.0,109.0,77.0,43.0,2.0,15.0,30.0,83.0
