,rel606_gene_id,BLATTNER-ID,ECK_ID
0,ECB_RS00005,b0001,ECK120001251
1,ECB_RS00010,b0002,ECK120000987
2,ECB_RS00015,b0003,ECK120000988
3,ECB_RS00020,b0004,ECK120000989
4,ECB_RS00030,b0005,ECK120002701
5,ECB_RS00035,b0006,ECK120000009
6,ECB_RS00040,b0007,ECK120001508
7,ECB_RS00045,b0008,ECK120001509
8,ECB_RS00050,b0009,ECK120001467
9,ECB_RS00055,b0010,ECK120001468
10,ECB_RS00060,b0011,ECK120002702
11,ECB_RS00065,b0013,ECK120004453
12,ECB_RS00070,b0014,ECK120000235
13,ECB_RS00075,b0015,ECK120000234
14,ECB_RS00080,b0016,ECK120002703
15,ECB_RS00085,b0018,ECK120000366
16,ECB_RS00090,b0019,ECK120000645
17,ECB_RS00095,b0020,ECK120001066
18,ECB_RS00130,b0023,ECK120000910
19,ECB_RS00135,b0024,ECK120002707
20,ECB_RS00140,b0025,ECK120001067
21,ECB_RS00145,b0026,ECK120000485
22,ECB_RS00150,b0027,ECK120000541
23,ECB_RS00155,b0028,ECK120001068
24,ECB_RS00160,b0029,ECK120001069
25,ECB_RS00165,b0030,ECK120001070
26,ECB_RS00170,b0031,ECK120000200
27,ECB_RS00185,b0032,ECK120000130
28,ECB_RS00190,b0033,ECK120000131
29,ECB_RS00200,b0034,ECK120002708
30,ECB_RS00205,b0035,ECK120002330
31,ECB_RS00210,b0036,ECK120001510
32,ECB_RS00215,b0037,ECK120001511
33,ECB_RS00225,b0039,ECK120001513
34,ECB_RS00230,b0040,ECK120001514
35,ECB_RS00235,b0041,ECK120001515
36,ECB_RS00240,b0042,ECK120001516
37,ECB_RS00245,b0043,ECK120001517
38,ECB_RS00250,b0044,ECK120001518
39,ECB_RS00255,b0045,ECK120001519
40,ECB_RS00260,b0046,ECK120001520
41,ECB_RS00265,b0047,ECK120000514
42,ECB_RS00270,b0048,ECK120000320
43,ECB_RS00275,b0049,ECK120000044
44,ECB_RS00280,b0050,ECK120000043
45,ECB_RS00285,b0051,ECK120000516
46,ECB_RS00290,b0052,ECK120000684
47,ECB_RS00295,b0053,ECK120000974
48,ECB_RS00300,b0054,ECK120001521
49,ECB_RS00305,b0055,ECK120001522
50,ECB_RS00310,b0058,ECK120002331
51,ECB_RS00315,b0059,ECK120001071
52,ECB_RS00320,b0060,ECK120000738
53,ECB_RS00325,b0061,ECK120000051
54,ECB_RS00330,b0062,ECK120000048
55,ECB_RS00335,b0063,ECK120000049
56,ECB_RS00340,b0064,ECK120000050
57,ECB_RS00345,b0065,ECK120001523
58,ECB_RS00350,b0066,ECK120001524
59,ECB_RS00355,b0067,ECK120001525
60,ECB_RS00360,b0068,ECK120001526
61,ECB_RS00365,b0069,ECK120001999
62,ECB_RS00370,b4662,
63,ECB_RS00375,b0070,ECK120001692
64,ECB_RS00380,b0071,ECK120001527
65,ECB_RS00385,b0072,ECK120001528
66,ECB_RS00390,b0073,ECK120001529
67,ECB_RS00395,b0074,ECK120001204
68,ECB_RS00400,b0075,ECK120001253
69,ECB_RS00405,b0076,ECK120000524
70,ECB_RS00410,b0077,ECK120000493
71,ECB_RS00415,b0078,ECK120000492
72,ECB_RS00425,b0080,ECK120000332
73,ECB_RS00430,b0081,ECK120001072
74,ECB_RS00435,b0082,ECK120001073
75,ECB_RS00440,b0083,ECK120001074
76,ECB_RS00445,b0084,ECK120000335
77,ECB_RS00450,b0085,ECK120000614
78,ECB_RS00455,b0086,ECK120000615
79,ECB_RS00460,b0087,ECK120000597
80,ECB_RS00465,b0088,ECK120000613
81,ECB_RS00470,b0089,ECK120000338
82,ECB_RS00475,b0090,ECK120000616
83,ECB_RS00480,b0091,ECK120000612
84,ECB_RS00485,b0092,ECK120000208
85,ECB_RS00490,b0093,ECK120000336
86,ECB_RS00495,b0094,ECK120000333
87,ECB_RS00500,b0095,ECK120000341
88,ECB_RS00505,b0096,ECK120000259
89,ECB_RS00510,b0097,ECK120001075
90,ECB_RS00515,b0098,ECK120000925
91,ECB_RS00520,b0099,ECK120000619
92,ECB_RS00530,b0101,ECK120002191
93,ECB_RS00535,b0102,ECK120002190
94,ECB_RS00540,b0103,ECK120002189
95,ECB_RS00545,b0104,ECK120000415
96,ECB_RS00550,b0106,ECK120001732
97,ECB_RS00555,b0107,ECK120002011
98,ECB_RS00560,b0108,ECK120002012
99,ECB_RS00570,b0109,ECK120001500
100,ECB_RS00575,b0110,ECK120000037
101,ECB_RS00580,b0111,ECK120000038
102,ECB_RS00585,b0112,ECK120000080
103,ECB_RS00590,b0113,ECK120001076
104,ECB_RS00595,b0114,ECK120000021
105,ECB_RS00600,b0115,ECK120000022
106,ECB_RS00605,b0116,ECK120000536
107,ECB_RS00610,b0117,ECK120002192
108,ECB_RS00615,b0118,ECK120002193
109,ECB_RS00620,b0119,ECK120002328
110,ECB_RS00625,b0120,ECK120000951
111,ECB_RS00630,b0121,ECK120000952
112,ECB_RS00635,b0122,ECK120001077
113,ECB_RS00640,b0123,ECK120002194
114,ECB_RS00645,b0124,ECK120000362
115,ECB_RS00650,b0125,ECK120002443
116,ECB_RS00655,b0126,ECK120002195
117,ECB_RS00660,b0127,ECK120002196
118,ECB_RS00665,b0128,ECK120002197
119,ECB_RS00670,b0129,ECK120002198
120,ECB_RS00675,b0130,ECK120001687
121,ECB_RS00680,b0131,ECK120001685
122,ECB_RS00685,b0132,ECK120001686
123,ECB_RS00690,b0133,ECK120001684
124,ECB_RS00695,b0134,ECK120001618
125,ECB_RS00710,b0137,ECK120002201
126,ECB_RS00715,b0138,ECK120002202
127,ECB_RS00720,b0139,ECK120001897
128,ECB_RS00725,b0140,ECK120001898
129,ECB_RS00730,b0141,ECK120002203
130,ECB_RS00735,b0142,ECK120001342
131,ECB_RS00740,b0143,ECK120000683
132,ECB_RS00745,b0144,ECK120001331
133,ECB_RS00750,b0145,ECK120000224
134,ECB_RS00755,b0146,ECK120000938
135,ECB_RS00760,b0147,ECK120002205
136,ECB_RS00765,b0148,ECK120002204
137,ECB_RS00775,b0149,ECK120000598
138,ECB_RS00780,b0150,ECK120000296
139,ECB_RS00785,b0151,ECK120000298
140,ECB_RS00790,b0152,ECK120000299
141,ECB_RS00795,b0153,ECK120000297
142,ECB_RS00800,b0154,ECK120000425
143,ECB_RS00805,b0155,ECK120002206
144,ECB_RS25295,b4728,ECK125276517
145,ECB_RS00810,b0156,ECK120002207
146,ECB_RS00815,b0157,ECK120002208
147,ECB_RS00820,b0158,ECK120002209
148,ECB_RS00825,b0159,ECK120001078
149,ECB_RS00830,b0160,ECK120000219
150,ECB_RS00835,b0161,ECK120000456
151,ECB_RS00840,b0162,ECK120002210
152,ECB_RS00845,b0163,ECK120002211
153,ECB_RS00850,b0164,ECK120002212
154,ECB_RS00855,b0166,ECK120000201
155,ECB_RS00860,b0167,ECK120001377
156,ECB_RS00865,b0168,ECK120000563
157,ECB_RS00870,b0169,ECK120000892
158,ECB_RS00875,b0170,ECK120001022
159,ECB_RS00880,b0171,ECK120001493
160,ECB_RS00885,b0172,ECK120000329
161,ECB_RS00890,b0173,ECK120002371
162,ECB_RS00895,b0174,ECK120002712
163,ECB_RS00900,b0175,ECK120000135
164,ECB_RS00905,b0176,ECK120002290
165,ECB_RS00910,b0177,ECK120002713
166,ECB_RS00915,b0178,ECK120000448
167,ECB_RS00920,b0179,ECK120000310
168,ECB_RS00925,b0180,ECK120001257
169,ECB_RS00930,b0181,ECK120000538
170,ECB_RS00935,b0182,ECK120000539
171,ECB_RS00940,b0183,ECK120000852
172,ECB_RS00945,b0184,ECK120000232
173,ECB_RS00950,b0185,ECK120001591
174,ECB_RS00955,b0186,ECK120002714
175,ECB_RS00960,b0187,ECK120002715
176,ECB_RS00965,b0188,ECK120002716
177,ECB_RS00970,b0189,ECK120002717
178,ECB_RS00975,b4406,ECK120002691
179,ECB_RS00980,b0190,ECK120002718
180,ECB_RS00985,b0191,ECK120002223
181,ECB_RS00990,b0192,ECK120002038
182,ECB_RS00995,b0193,ECK120002039
183,ECB_RS01000,b0194,ECK120000761
184,ECB_RS01005,b0195,ECK120001459
185,ECB_RS01010,b0196,ECK120001458
186,ECB_RS01015,b0197,ECK120001460
187,ECB_RS01020,b0198,ECK120001676
188,ECB_RS01025,b0199,ECK120001569
189,ECB_RS01030,b0200,ECK120001675
190,ECB_RS01065,b0207,ECK120001592
191,ECB_RS01070,b0208,ECK120001593
192,ECB_RS01075,b0209,ECK120001594
193,ECB_RS01080,b0210,ECK120001595
194,ECB_RS01085,b0211,ECK120000240
195,ECB_RS01090,b0212,ECK120002719
196,ECB_RS01095,b0213,ECK120002720
197,ECB_RS01100,b0214,ECK120000851
198,ECB_RS01105,b0215,ECK120000237
199,ECB_RS01115,b0217,ECK120002721
200,ECB_RS01125,b3484,ECK120001479
201,ECB_RS01130,b0219,ECK120002723
202,ECB_RS01135,b0220,ECK120002724
203,ECB_RS01140,b0221,ECK120002725
204,ECB_RS01145,b0222,ECK120002726
205,ECB_RS01150,b0223,ECK120002727
206,ECB_RS01155,b0224,ECK120002728
207,ECB_RS01160,b0225,ECK120002729
208,ECB_RS01165,b0226,ECK120002730
209,ECB_RS01170,b0227,ECK120002731
210,ECB_RS01175,b0228,ECK120002732
211,ECB_RS01190,b0231,ECK120002735
212,ECB_RS01195,b0232,ECK120002736
