target_id	length	eff_length	est_counts	tpm
ECB_00001	66	10.4348	89	6569.1
ECB_00002	2463	2295.59	6	2.01306
ECB_00003	933	765.59	3	3.01803
ECB_00004	1287	1119.59	8	5.50338
ECB_00005	297	135.67	3	17.0309
ECB_00006	777	609.59	4	5.05383
ECB_00007	1431	1263.59	5	3.04763
ECB_00008	954	786.59	37	36.2286
ECB_00009	588	420.633	9	16.4793
ECB_00010	567	399.673	7	13.4894
ECB_00011	714	546.59	0	0
ECB_00012	486	318.879	1	2.41531
ECB_00013	405	238.874	1	3.22427
ECB_00014	1917	1749.59	14	6.16298
ECB_00015	1131	963.59	4	3.19718
ECB_00016	1113	945.59	4.6	3.74674
ECB_00017	210	65.3156	8	94.3348
ECB_04280	153	31.7637	0	0
ECB_00018	1167	999.59	74	57.0176
ECB_00019	906	738.59	5	5.21393
ECB_00020	960	792.59	0	0
ECB_00021	1146	978.59	1	0.787042
ECB_00022	705	537.59	0	0
ECB_00023	276	116.855	1.55556	10.2526
ECB_00024	504	336.781	0.00965665	0.022084
ECB_00025	351	186.421	1	4.13147
ECB_00026	165	38.2582	2	40.2629
ECB_00027	264	106.669	34	245.492
ECB_00028	219	71.704	2	21.4825
ECB_00029	942	774.59	11	10.9375
ECB_00030	2817	2649.59	9	2.61615
ECB_00031	495	327.847	2	4.69849
ECB_00032	450	283.15	2	5.44018
ECB_00033	951	783.59	33	32.4357
ECB_00034	915	747.59	3	3.0907
ECB_00035	822	654.59	7	8.23621
ECB_00036	1149	981.59	3	2.35391
ECB_00037	3222	3054.59	7	1.765
ECB_00038	396	229.921	9	30.1483
ECB_00039	591	423.59	1	1.81825
ECB_00040	894	726.59	1	1.06001
ECB_00041	1569	1401.59	2	1.09903
ECB_00043	1143	975.59	2	1.57892
ECB_00044	1515	1347.59	0	0
ECB_00045	771	603.59	3	3.82805
ECB_00046	942	774.59	2	1.98864
ECB_00047	1287	1119.59	2	1.37585
ECB_00048	288	127.772	0	0
ECB_00049	1332	1164.59	0	0
ECB_00050	531	363.711	2	4.23519
ECB_00051	1863	1695.59	11	4.99656
ECB_00052	480	312.973	39	95.9747
ECB_00053	843	675.59	2	2.28006
ECB_00054	378	212.185	3	10.8894
ECB_00055	822	654.59	13	15.2958
ECB_00056	990	822.59	8	7.49041
ECB_00057	1287	1119.59	47	32.3324
ECB_00058	2355	2187.59	77	27.1096
