,UNIQUE-ID,NAME,PRODUCT-NAME,SWISS-PROT-ID,REPLICON,START-BASE,END-BASE,SYNONYMS,SYNONYMS.1,SYNONYMS.2,SYNONYMS.3,GENE-CLASS,GENE-CLASS.1,GENE-CLASS.2,GENE-CLASS.3,ACCESSION-1,TRANSCRIPTION-DIRECTION,locus_tag,name,location,old_locus_tag,product,note,start,end,distance,overlap,ecocyc_gene_len,NCBI_gene_len
3592,GCQD-4401,yjgW,KpLE2 phage-like element; predicted protein,C6UL46,CHROMOSOME-1,4481491,4481826,,,,,,,,,ECB_04137,+,ECB_RS22895,,[4481568:4482671](-),ECB_04138,phosphoethanolamine transferase,frameshifted; internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology.,4482671,4481568,1438,258,335,1103
4194,GCQD-710,ECB_00524,"bacteriophage N4 receptor, inner membrane subunit",C6UCG1,CHROMOSOME-1,568822,568652,,,,,UNCLASSIFIED,,,,ECB_00524,-,ECB_RS02750,,[568799:569936](-),ECB_00525,ISAs1 family transposase,Derived by automated computational analysis using gene prediction method: Protein Homology.,569936,568799,1261,23,170,1137
379,GCQD-1628,yddJ,hypothetical protein,C6UHM8,CHROMOSOME-1,1518870,1518535,,,,,,,,,ECB_01428,-,ECB_RS07575,,[1518534:1519865](-),,leucine-rich repeat domain-containing protein,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1519865,1518534,996,335,335,1331
386,GCQD-1617,yncM,predicted protein,,CHROMOSOME-1,1505938,1506138,,,,,,,,,ECB_01417,+,ECB_RS07520,,[1505147:1506274](+),ECB_01416,ISAs1 family transposase,frameshifted; internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology.,1505147,1506274,927,200,200,1127
3557,GCQD-451,ECB_00265,orf,C6UAZ5,CHROMOSOME-1,297269,297057,,,,,,,,,ECB_00265,-,ECB_RS01395,,[296406:297102](+),ECB_00264,lactate utilization protein C,Derived by automated computational analysis using gene prediction method: Protein Homology.,296406,297102,908,45,212,696
3546,GCQD-1229,insE-1,IS3 element protein InsE,C6UCX3,CHROMOSOME-1,1111731,1111423,,,,,UNCLASSIFIED,,,,ECB_01029,-,ECB_RS05445,,[1110559:1111722](-),ECB_01028,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1111722,1110559,873,299,308,1163
2681,GCQD-2918,insE-5,IS3 element protein InsE,C6UCX3,CHROMOSOME-1,2882765,2883073,,,,,UNCLASSIFIED,,,,ECB_02695,+,ECB_RS14255,,[2882773:2883936](+),ECB_02696,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2882773,2883936,871,300,308,1163
4111,GCQD-1559,insE-2,IS3 element protein InsE,C6UCX3,CHROMOSOME-1,1442692,1443000,,,,,UNCLASSIFIED,,,,ECB_01359,+,ECB_RS07225,,[1442700:1443863](+),ECB_01360,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1442700,1443863,871,300,308,1163
2880,GCQD-1722,insE-4,IS3 element protein InsE,C6UCX3,CHROMOSOME-1,1615527,1615835,,,,,UNCLASSIFIED,,,,ECB_01524,+,ECB_RS08065,,[1615535:1616698](+),ECB_01525,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1615535,1616698,871,300,308,1163
313,GCQD-1709,insE-3,DLP12 prophage; IS3 element protein InsE,C6UCX3,CHROMOSOME-1,1607973,1608281,,,,,UNCLASSIFIED,,,,ECB_01511,+,ECB_RS08005,,[1607981:1609144](+),ECB_01512,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1607981,1609144,871,300,308,1163
3581,GCQD-4414,yis1,orf,C6UL56,CHROMOSOME-1,4493974,4493672,,,,,,,,,ECB_04150,-,ECB_RS22080,,[4492817:4493974](-),ECB_04149,IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,4493974,4492817,855,302,302,1157
827,GCQD-803,insJ,IS150 protein InsA,,CHROMOSOME-1,664735,665256,yi5A,,,,UNCLASSIFIED,,,,ECB_00619,+,ECB_RS24860,,[664734:666104](+),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,664734,666104,849,521,521,1370
3190,GCQD-2828,insJ,IS150 protein InsA,,CHROMOSOME-1,2775830,2775309,yi5A,,,,UNCLASSIFIED,,,,ECB_02606,-,ECB_RS25125,,[2774460:2775830](-),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2775830,2774460,849,521,521,1370
2509,GCQD-3866,insJ,IS150 protein InsA,,CHROMOSOME-1,3893601,3894122,yi5A,,,,UNCLASSIFIED,,,,ECB_03632,+,ECB_RS25215,,[3893600:3894970](+),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,3893600,3894970,849,521,521,1370
4285,GCQD-2407,ECB_02199,orf,C6ULT3,CHROMOSOME-1,2332147,2332668,,,,,,,,,ECB_02199,+,ECB_RS25075,,[2332146:2333504](+),,IS3-like element ISEcB1 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2332146,2333504,837,521,521,1358
4012,GCQD-3133,ygiA,predicted protein,C6UE89,CHROMOSOME-1,3113768,3114028,,,,,,,,,ECB_02908,+,ECB_RS15370,,[3113915:3114587](+),ECB_02909,DUF1190 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3113915,3114587,706,113,260,672
51,GCQD-2245,ECB_02038,orf,C6UKT4,CHROMOSOME-1,2142385,2142783,,,,,,,,,ECB_02038,+,ECB_RS23850,,[2142730:2142922](-),ECB_02039,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2142922,2142730,590,53,398,192
3752,GCQD-3927,yzcX,orf,C6UIQ2,CHROMOSOME-1,3955680,3955907,,,,,,,,,ECB_03683,+,ECB_RS19495,cyaY,[3955568:3955889](-),ECB_03682,iron donor protein CyaY,Derived by automated computational analysis using gene prediction method: Protein Homology.,3955889,3955568,548,209,227,321
1148,GCQD-2827,insK-3,IS150 putative transposase,C6UCN4,CHROMOSOME-1,2775312,2774461,,,,,UNCLASSIFIED,,,,ECB_02605,-,ECB_RS25125,,[2774460:2775830](-),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2775830,2774460,519,851,851,1370
2193,GCQD-3644,insK-4,IS150 putative transposase,C6UCN4,CHROMOSOME-1,3651656,3652507,,,,,UNCLASSIFIED,,,,ECB_03409,+,ECB_RS25190,,[3651137:3652507](+),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,3651137,3652507,519,851,851,1370
977,GCQD-2408,ECB_02200,YadA protein,C6ULT4,CHROMOSOME-1,2332665,2333504,,,,,UNCLASSIFIED,,,,ECB_02200,+,ECB_RS25075,,[2332146:2333504](+),,IS3-like element ISEcB1 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2332146,2333504,519,839,839,1358
1998,GCQD-804,insK-2,IS150 putative transposase,C6UCN4,CHROMOSOME-1,665253,666104,,,,,UNCLASSIFIED,,,,ECB_00620,+,ECB_RS24860,,[664734:666104](+),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,664734,666104,519,851,851,1370
886,GCQD-3867,insK-5,IS150 putative transposase,C6UCN4,CHROMOSOME-1,3894119,3894970,,,,,UNCLASSIFIED,,,,ECB_03633,+,ECB_RS25215,,[3893600:3894970](+),,IS3-like element IS150 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,3893600,3894970,519,851,851,1370
1503,GCQD-729,insJ,IS150 protein InsA,,CHROMOSOME-1,588542,589063,yi5A,,,,UNCLASSIFIED,,,,ECB_00543,+,ECB_RS24840,,[588541:>589554](+),,IS3-like element IS150 family transposase,frameshifted; incomplete; partial in the middle of a contig; missing C-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,588541,589554,492,521,521,1013
