,locus_tag,name,location,old_locus_tag,product,note,start,end
0,ECB_RS00005,thrL,[189:255](+),ECB_00001,thr operon leader peptide,Derived by automated computational analysis using gene prediction method: Protein Homology.,189,255
1,ECB_RS00010,thrA,[335:2798](+),ECB_00002,bifunctional aspartate kinase/homoserine dehydrogenase I,Derived by automated computational analysis using gene prediction method: Protein Homology.,335,2798
2,ECB_RS00015,thrB,[2799:3732](+),ECB_00003,homoserine kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2799,3732
3,ECB_RS00020,thrC,[3732:5019](+),ECB_00004,threonine synthase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3732,5019
4,ECB_RS00030,,[5231:5528](+),ECB_00005,DUF2502 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,5231,5528
5,ECB_RS00035,yaaA,[5680:6457](-),ECB_00006,peroxide stress protein YaaA,Derived by automated computational analysis using gene prediction method: Protein Homology.,6457,5680
6,ECB_RS00040,,[6526:7957](-),ECB_00007,sodium:alanine symporter family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,7957,6526
7,ECB_RS00045,tal,[8235:9189](+),ECB_00008,transaldolase,Derived by automated computational analysis using gene prediction method: Protein Homology.,8235,9189
8,ECB_RS00050,,[9303:9891](+),ECB_00009,molybdopterin adenylyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,9303,9891
9,ECB_RS00055,satP,[9925:10492](-),ECB_00010,acetate uptake transporter,Derived by automated computational analysis using gene prediction method: Protein Homology.,10492,9925
10,ECB_RS00060,msyB,[10640:11354](-),ECB_00011,acidic protein MsyB,Derived by automated computational analysis using gene prediction method: Protein Homology.,11354,10640
11,ECB_RS00065,,[11379:11784](-),ECB_00013,DUF2541 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,11784,11379
12,ECB_RS00070,dnaK,[12160:14077](+),ECB_00014,molecular chaperone DnaK,Derived by automated computational analysis using gene prediction method: Protein Homology.,12160,14077
13,ECB_RS00075,dnaJ,[14165:15296](+),ECB_00015,molecular chaperone DnaJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,14165,15296
14,ECB_RS00080,,[15442:16555](+),ECB_00016,IS4-like element IS421 family transposase,Derived by automated computational analysis using gene prediction method: Protein Homology.,15442,16555
15,ECB_RS00085,mokC,[16748:16958](-),ECB_04280,type I toxin-antitoxin system toxin MokC,Derived by automated computational analysis using gene prediction method: Protein Homology.,16958,16748
16,ECB_RS00090,nhaA,[17487:18654](+),ECB_00018,Na+/H+ antiporter NhaA,Derived by automated computational analysis using gene prediction method: Protein Homology.,17487,18654
17,ECB_RS00095,nhaR,[18713:19619](+),ECB_00019,transcriptional activator NhaR,Derived by automated computational analysis using gene prediction method: Protein Homology.,18713,19619
18,ECB_RS00100,,[19657:20617](-),ECB_00020,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,20617,19657
19,ECB_RS00105,,[20629:>21982](-),ECB_00021,fimbria/pilus outer membrane usher protein,internal stop; incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,21982,20629
20,ECB_RS00110,espX1,[22207:>23296](-),,type III secretion system effector EspX1,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,23296,22207
21,ECB_RS00120,,[23345:24043](+),ECB_00024,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,23345,24043
22,ECB_RS00125,,[<24057:24404](-),ECB_00025,pentapeptide repeat-containing protein,frameshifted; incomplete; partial in the middle of a contig; missing C-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,24404,24057
23,ECB_RS00130,rpsT,[24886:25150](-),ECB_00027,30S ribosomal protein S20,Derived by automated computational analysis using gene prediction method: Protein Homology.,25150,24886
24,ECB_RS00135,,[25252:25471](+),ECB_00028,DUF2575 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,25252,25471
25,ECB_RS00140,ribF,[25478:26420](+),ECB_00029,bifunctional riboflavin kinase/FAD synthetase,Derived by automated computational analysis using gene prediction method: Protein Homology.,25478,26420
26,ECB_RS00145,ileS,[26462:29279](+),ECB_00030,isoleucine--tRNA ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,26462,29279
27,ECB_RS00150,,[29278:29773](+),ECB_00031,lipoprotein signal peptidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,29278,29773
28,ECB_RS00155,fkpB,[29897:30347](+),ECB_00032,FKBP-type peptidyl-prolyl cis-trans isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,29897,30347
29,ECB_RS00160,ispH,[30348:31299](+),ECB_00033,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,30348,31299
30,ECB_RS00165,rihC,[31364:32279](+),ECB_00034,ribonucleoside hydrolase RihC,Derived by automated computational analysis using gene prediction method: Protein Homology.,31364,32279
31,ECB_RS00170,dapB,[32445:33267](+),ECB_00035,4-hydroxy-tetrahydrodipicolinate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,32445,33267
32,ECB_RS00185,,[33721:34870](+),ECB_00036,carbamoyl-phosphate synthase small subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,33721,34870
33,ECB_RS00190,carB,[34887:38109](+),ECB_00037,carbamoyl-phosphate synthase large subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,34887,38109
34,ECB_RS00200,caiF,[38370:38766](+),ECB_00038,carnitine metabolism transcriptional regulator CaiF,Derived by automated computational analysis using gene prediction method: Protein Homology.,38370,38766
35,ECB_RS00205,caiE,[38974:39565](-),ECB_00039,carnitine operon protein CaiE,Derived by automated computational analysis using gene prediction method: Protein Homology.,39565,38974
36,ECB_RS00210,caiD,[39570:40356](-),ECB_00040,crotonobetainyl-CoA hydratase,Derived by automated computational analysis using gene prediction method: Protein Homology.,40356,39570
37,ECB_RS00215,caiC,[40464:42018](-),ECB_00041,crotonobetaine/carnitine-CoA ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,42018,40464
38,ECB_RS00220,caiB,[42091:43308](-),,L-carnitine CoA-transferase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,43308,42091
39,ECB_RS00225,caiA,[43436:44579](-),ECB_00043,crotonobetainyl-CoA dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,44579,43436
40,ECB_RS00230,caiT,[44609:46124](-),ECB_00044,L-carnitine/gamma-butyrobetaine antiport BCCT transporter,Derived by automated computational analysis using gene prediction method: Protein Homology.,46124,44609
41,ECB_RS00235,,[46597:47368](+),ECB_00045,electron transfer flavoprotein FixA,Derived by automated computational analysis using gene prediction method: Protein Homology.,46597,47368
